State ,Moralistic,Traditionalistic
Alabama,0,1
Arizona,0,1
Alaska,0,0
Arkansas,0,0
California,1,0
Colorado,1,0
Connecticut,0,0
Delaware,0,0
Florida,0,1
Georgia,1,0
Hawaii,0,0
Idaho,0,1
Illinois,1,0
Indiana,0,1
Iowa,1,0
kansas,0,0
Kentucky,0,1
Louisiana ,0,1
Maine,1,0
Maryland,0,0
Massachusetts,0,0
Michigan,1,0
Minnesota,1,0
Mississippi,0,0
Missouri,0,1
Montana,0,0
Nebraska,1,0
Nevada,0,0
New Hampshire,1,0
New Jersey,1,0
New Mexico,0,0
New York,0,0
North Carolina,1,0
North Dakota,1,0
Ohio,0,0
Oklahoma,0,1
Oregon ,0,1
Pennsylvania ,0,0
Rhode Island,0,0
South Carolina ,0,1
South Dakota,0,1
Tennessee,0,0
Texas,0,1
Utah,0,1
Vermont,1,0
Virginia,0,0
Washington,1,0
West Virginia,0,1
Wisconsin,1,0
Wyoming,0,1
,,
,,